,date,true,predict
5477,2013-05-22,2302.403,2312.513427734375
5478,2013-05-23,2275.667,2309.376220703125
5479,2013-05-24,2288.533,2280.84130859375
5480,2013-05-27,2293.077,2293.088623046875
5481,2013-05-28,2321.3179999999998,2297.843505859375
5482,2013-05-29,2324.0170000000003,2329.608154296875
5483,2013-05-30,2317.749,2333.174560546875
5484,2013-05-31,2300.595,2325.4775390625
5485,2013-06-03,2299.252,2305.116943359375
5486,2013-06-04,2272.416,2301.504638671875
5487,2013-06-05,2270.931,2271.918701171875
5488,2013-06-06,2242.11,2268.87744140625
5489,2013-06-07,2210.8979999999997,2238.902099609375
5490,2013-06-13,2148.355,2205.19970703125
5491,2013-06-14,2162.041,2138.4111328125
5492,2013-06-17,2156.215,2149.419189453125
5493,2013-06-18,2159.291,2142.054931640625
5494,2013-06-19,2143.4539999999997,2144.851806640625
5495,2013-06-20,2084.021,2129.070556640625
5496,2013-06-21,2073.095,2067.754638671875
5497,2013-06-24,1963.235,2056.087158203125
5498,2013-06-25,1959.5079999999998,1942.66064453125
5499,2013-06-26,1951.495,1937.516357421875
5500,2013-06-27,1950.013,1929.728515625
5501,2013-06-28,1979.2060000000001,1930.0631103515625
5502,2013-07-01,1995.2420000000002,1961.1593017578125
5503,2013-07-02,2006.56,1979.119873046875
5504,2013-07-03,1994.2679999999998,1991.9373779296875
5505,2013-07-04,2006.098,1981.31005859375
5506,2013-07-05,2007.1989999999998,1996.826904296875
5507,2013-07-08,1958.273,2000.8946533203125
5508,2013-07-09,1965.454,1956.147705078125
5509,2013-07-10,2008.126,1966.0054931640625
5510,2013-07-11,2072.991,2011.359375
5511,2013-07-12,2039.486,2082.3671875
5512,2013-07-15,2059.39,2047.4852294921875
5513,2013-07-16,2065.72,2067.156005859375
5514,2013-07-17,2044.922,2072.358154296875
5515,2013-07-18,2023.396,2050.46533203125
5516,2013-07-19,1992.648,2026.666259765625
5517,2013-07-22,2004.7620000000002,1993.1531982421875
5518,2013-07-23,2043.876,2007.3702392578125
5519,2013-07-24,2033.329,2049.46142578125
5520,2013-07-25,2021.174,2037.74658203125
5521,2013-07-26,2010.85,2021.572265625
5522,2013-07-29,1976.306,2010.530029296875
5523,2013-07-30,1990.0639999999999,1973.288330078125
5524,2013-07-31,1993.799,1985.3759765625
5525,2013-08-01,2029.067,1989.4114990234375
5526,2013-08-02,2029.418,2027.4600830078125
5527,2013-08-05,2050.481,2031.0023193359375
5528,2013-08-06,2060.5,2053.710693359375
5529,2013-08-07,2046.7779999999998,2063.57177734375
5530,2013-08-08,2044.895,2050.237060546875
5531,2013-08-09,2052.235,2048.654296875
5532,2013-08-12,2101.283,2056.73095703125
5533,2013-08-13,2106.156,2110.150146484375
5534,2013-08-14,2100.137,2117.06640625
5535,2013-08-15,2081.88,2110.16015625
5536,2013-08-16,2068.452,2088.54443359375
5537,2013-08-19,2085.6020000000003,2072.631591796875
5538,2013-08-20,2072.595,2089.39111328125
5539,2013-08-21,2072.9610000000002,2075.408203125
5540,2013-08-22,2067.124,2075.787109375
5541,2013-08-23,2057.458,2069.5419921875
5542,2013-08-26,2096.474,2058.24365234375
5543,2013-08-27,2103.567,2096.130126953125
5544,2013-08-28,2101.301,2103.130126953125
5545,2013-08-29,2097.2270000000003,2101.845458984375
5546,2013-08-30,2098.382,2099.206787109375
5547,2013-09-02,2098.448,2101.502685546875
5548,2013-09-03,2123.112,2101.076416015625
5549,2013-09-04,2127.618,2127.060791015625
5550,2013-09-05,2122.43,2132.405029296875
5551,2013-09-06,2139.993,2127.531005859375
5552,2013-09-09,2212.516,2146.916259765625
5553,2013-09-10,2237.984,2222.6904296875
5554,2013-09-11,2241.268,2250.296875
5555,2013-09-12,2255.605,2254.713134765625
5556,2013-09-13,2236.217,2270.280517578125
5557,2013-09-16,2231.401,2250.065185546875
5558,2013-09-17,2185.56,2244.234375
5559,2013-09-18,2191.851,2193.642333984375
5560,2013-09-23,2221.044,2197.80712890625
5561,2013-09-24,2207.531,2228.069580078125
5562,2013-09-25,2198.515,2213.5556640625
5563,2013-09-26,2155.8089999999997,2199.843017578125
5564,2013-09-27,2160.027,2151.77734375
5565,2013-09-30,2174.665,2153.57080078125
5566,2013-10-08,2198.199,2167.359619140625
5567,2013-10-09,2211.769,2192.458251953125
5568,2013-10-10,2190.929,2208.186767578125
5569,2013-10-11,2228.146,2190.104248046875
5570,2013-10-14,2237.7729999999997,2230.428955078125
5571,2013-10-15,2233.4120000000003,2240.1044921875
5572,2013-10-16,2193.074,2236.82177734375
5573,2013-10-17,2188.542,2195.3916015625
5574,2013-10-18,2193.78,2191.52880859375
5575,2013-10-21,2229.237,2196.432373046875
5576,2013-10-22,2210.652,2232.072265625
5577,2013-10-23,2183.107,2211.43896484375
5578,2013-10-24,2164.322,2180.954833984375
5579,2013-10-25,2132.955,2161.279296875
5580,2013-10-28,2133.869,2126.5263671875
5581,2013-10-29,2128.864,2125.61572265625
